epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1733.76,0.53305,0.38207,0.9707,0.98608,0.98368,0.9904,0.94359,0.35818,0.19993,0.9474,0.0079408,0.0079408,0.0079408
106,1749.62,0.53577,0.38213,0.97224,0.98622,0.98274,0.9899,0.94289,0.35691,0.20049,0.94891,0.007921,0.007921,0.007921
107,1766.21,0.53723,0.38371,0.97188,0.98614,0.98288,0.99018,0.9413,0.35408,0.19819,0.94911,0.0079012,0.0079012,0.0079012
108,1783.07,0.53558,0.38438,0.97003,0.9862,0.98301,0.99047,0.94627,0.35363,0.19606,0.94743,0.0078814,0.0078814,0.0078814
109,1799.96,0.53629,0.38066,0.96971,0.98572,0.98298,0.99019,0.94485,0.35489,0.19352,0.94759,0.0078616,0.0078616,0.0078616
110,1816.55,0.52945,0.3783,0.96528,0.9858,0.98337,0.99038,0.94179,0.35432,0.19451,0.94588,0.0078418,0.0078418,0.0078418
111,1832.33,0.53287,0.37989,0.96949,0.98587,0.98331,0.9906,0.94647,0.35223,0.19335,0.94373,0.007822,0.007822,0.007822
112,1848.78,0.53084,0.37761,0.96489,0.98658,0.98278,0.99075,0.94584,0.35046,0.1955,0.94414,0.0078022,0.0078022,0.0078022
113,1865.23,0.52896,0.37673,0.96862,0.98666,0.98287,0.99039,0.94569,0.34959,0.19631,0.94254,0.0077824,0.0077824,0.0077824
114,1881.89,0.52723,0.37524,0.96532,0.98666,0.98164,0.99056,0.94658,0.34725,0.19657,0.94062,0.0077626,0.0077626,0.0077626
115,1898.12,0.52368,0.36956,0.96562,0.98674,0.98168,0.99048,0.94609,0.34598,0.19434,0.94041,0.0077428,0.0077428,0.0077428
116,1914.49,0.52508,0.37421,0.96555,0.98786,0.98322,0.99028,0.94514,0.3455,0.19328,0.9407,0.007723,0.007723,0.007723
117,1931.27,0.52415,0.37467,0.96579,0.98758,0.98378,0.99117,0.94686,0.34712,0.19211,0.94354,0.0077032,0.0077032,0.0077032
118,1947.97,0.52154,0.37549,0.96284,0.98689,0.98352,0.99125,0.94645,0.34891,0.19112,0.94554,0.0076834,0.0076834,0.0076834
119,1964.67,0.52019,0.37399,0.96231,0.98723,0.98337,0.99129,0.94954,0.34911,0.1927,0.94568,0.0076636,0.0076636,0.0076636
120,1981.74,0.52616,0.37643,0.96636,0.9874,0.98272,0.99105,0.94733,0.34911,0.19287,0.94686,0.0076438,0.0076438,0.0076438
121,1998.76,0.52116,0.37494,0.9641,0.98673,0.98305,0.99077,0.94652,0.34814,0.19205,0.94604,0.007624,0.007624,0.007624
122,2015.44,0.51998,0.36843,0.96259,0.98738,0.98161,0.9908,0.94602,0.34751,0.1922,0.94715,0.0076042,0.0076042,0.0076042
123,2032.08,0.51495,0.36648,0.95829,0.9871,0.98218,0.99083,0.94578,0.34672,0.19439,0.94617,0.0075844,0.0075844,0.0075844
124,2048.98,0.51644,0.36305,0.95963,0.98691,0.98231,0.99084,0.94653,0.34573,0.19224,0.94532,0.0075646,0.0075646,0.0075646
125,2065.26,0.51374,0.36519,0.95825,0.98699,0.982,0.99073,0.94891,0.34465,0.19244,0.94449,0.0075448,0.0075448,0.0075448
126,2081.88,0.51845,0.36764,0.96099,0.9863,0.98294,0.99095,0.9483,0.3433,0.19054,0.94395,0.007525,0.007525,0.007525
